date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-05-22,85,100,99,95,76,73,83,40,42420,34890,7530,8490,20490,5910,29,82,1260,22620,,2020-05-21T15:45:17+10:00,2020-05-22T03:32:17+10:00,66.82,55,37,-0.02,14.75,83,91,95,43,100,97,100,474,2720,650,6598,7214,687,481,158,13,26,75,1.46875,1,88,85,82,80,93,100,93,0,100
2020-05-23,89,100,100,87,93,48,94,94,50520,44790,5730,10560,28770,5460,46,89,750,26220,,2020-05-22T19:53:19+10:00,2020-05-23T09:55:19+10:00,66.77,58,34,0.07,13.75,89,97,95,60,100,98,100,616,2714,600,5719,10666,348,895,101,89,7,0,1.4375,1,86,90,87,67,79,96,86,0,100
2020-05-24,82,100,100,95,81,50,23,100,47700,39960,7740,10740,23130,6090,47,84,2640,25590,,2020-05-23T18:49:10+10:00,2020-05-24T08:04:10+10:00,68.41,59,36,0.05,13.875,82,84,100,43,100,98,98,423,2565,650,8525,7407,485,734,162,59,0,0,1.375,0,87,80,99,92,69,97,73,0,100
2020-05-25,78,79,55,96,88,56,81,98,31320,27360,3960,4110,16920,6330,41,87,450,15600,,2020-05-24T19:37:27+10:00,2020-05-25T04:19:27+10:00,65.9,60,39,-0.04,13.875,73,63,78,25,100,99,100,526,2763,600,4105,8676,651,466,185,75,0,63,1.5,2,85,75,91,94,75,100,74,0,100
2020-05-26,91,100,100,100,93,56,81,100,44940,40200,4740,12030,18720,9450,37,89,480,22140,,2020-05-25T20:44:13+10:00,2020-05-26T09:13:13+10:00,65.48,58,38,-0.09,13.5,85,98,100,43,100,100,100,664,2700,650,7425,10123,303,953,72,9,46,57,1.4375,0,91,94,100,83,74,100,82,0,100
2020-05-27,83,100,100,48,93,48,64,100,41640,37260,4380,10710,23490,3060,49,89,1680,21600,,2020-05-26T20:10:00+10:00,2020-05-27T07:44:00+10:00,68.31,59,34,-0.09,14.375,80,80,78,43,100,100,98,437,2525,500,8633,7427,517,751,108,59,5,0,1.34375,2,81,81,100,66,73,100,55,81,100
2020-05-28,73,63,63,97,93,63,67,100,25980,23130,2850,4710,11220,7200,29,89,150,12780,,2020-05-27T21:20:49+10:00,2020-05-28T04:33:49+10:00,62.53,56,45,-0.23,14.5,73,55,78,43,100,100,89,374,2563,600,4279,6348,715,527,150,47,1,0,1.40625,2,85,66,92,89,76,96,100,86,77
2020-05-29,73,74,72,67,90,45,72,100,29640,26130,3510,5370,16500,4260,48,88,300,14850,,2020-05-28T19:54:13+10:00,2020-05-29T04:08:13+10:00,62.87,57,39,-0.16,13.625,78,48,60,60,100,100,100,879,3159,500,10923,13795,776,402,164,66,32,0,1.71875,3,82,67,86,82,79,99,92,85,77
2020-05-30,80,82,86,88,83,49,86,100,32940,28140,4800,6390,16230,5520,45,85,600,16380,,2020-05-29T20:59:22+10:00,2020-05-30T06:08:22+10:00,65.6,58,33,-0.24,14,74,46,60,43,100,100,100,389,2612,500,7243,6695,770,463,147,48,1,11,1.4375,3,78,78,84,44,70,96,91,82,83
2020-05-31,82,84,98,71,88,54,86,100,32940,28590,4350,8250,15840,4500,39,87,570,16740,,2020-05-30T22:07:20+10:00,2020-05-31T07:16:20+10:00,62.83,55,39,-0.13,13.875,81,72,100,43,100,99,100,182,2339,600,2630,2883,584,662,148,8,0,38,1.25,0,85,80,83,82,79,100,91,85,95
